recipe_name,ingredient_name,quantity,unit
Brunch,Yogurt,0.75,unit
Vegan Brunch,Coffee,1,unit
Vegan Brunch,White Mushrooms,50,g
Vegan Brunch,Spinach,20,g
Vegan Brunch,Saloia Bread,100,g
Vegan Brunch,Hummus,50,g
Vegan Brunch,Iberian Salad,20,g
Vegan Brunch,Orange Vinaigrette,5,g
Vegan Brunch,Cherry Tomato,10,g
SHAKSHUKA,Eggs,2,unit
SHAKSHUKA,Onion,70,g
SHAKSHUKA,Red Bell Pepper,80,g
SHAKSHUKA,Tomato,385,g
SHAKSHUKA,Garlic,13,g
SHAKSHUKA,Rosemary,2,g
SHAKSHUKA,Thyme,3,g
SHAKSHUKA,Basil,5,g
SHAKSHUKA,Chili Pepper,10,g
SHAKSHUKA,Sweet Paprika,10,g
SHAKSHUKA,Cumin,4,g
SHAKSHUKA,Tomato Paste,50,g
SHAKSHUKA,Saloia Bread,100,g
Eggs Benedict,Eggs,2,unit
Eggs Benedict,Brioche Bread,60,g
Eggs Benedict,Hollandaise Sauce,50,g
Eggs Benedict,Bacon,20,g
Eggs Benedict,Chives,3,g
Eggs Florentine,Eggs,2,unit
Eggs Florentine,White Mushrooms,50,g
Eggs Florentine,Spinach,20,g
Eggs Florentine,Mornay Sauce,50,g
Eggs Florentine,Chives,3,g
Eggs Florentine,Saloia Bread,90,g
Avocado and Feta,Eggs,2,unit
Avocado and Feta,Guacamole,100,g
Avocado and Feta,Cherry Tomato,15,g
Avocado and Feta,Iberian Salad,20,g
Avocado and Feta,Bacon,20,g
Avocado and Feta,Feta Cheese,20,g
Avocado and Feta,Saloia Bread,100,g
Brazilian,Acai,150,g
Brazilian,Granola,30,g
Brazilian,Strawberry,20,g
Brazilian,Banana,70,g
Brazilian,Basil,3,g
Avocado,Avocado,90,g
Avocado,Coconut Milk,150,ml
Avocado,Coconut Cream,20,g
Avocado,Basil,2,g
Avocado,Brown Sugar,40,g
Avocado,Grapes,40,g
Avocado,Chia,7,g
Avocado,Oats,15,g
Fruit Bowl,Greek Yogurt,200,g
Fruit Bowl,Mint,3,g
Fruit Bowl,Banana,70,g
Fruit Bowl,Kiwi,45,g
Fruit Bowl,Honey,10,g
Fruit Bowl,Granola,50,g
Chicken Salad,Chicken Breast,120,g
Chicken Salad,Thyme,1,g
Chicken Salad,Rosemary,2,g
Chicken Salad,Salt,480,g
Chicken Salad,Black Pepper,14,g
Chicken Salad,Iberian Salad,40,g
Chicken Salad,Avocado,40,g
Chicken Salad,Radish,12,g
Chicken Salad,Caramelized Mixed Nuts,10,g
Chicken Salad,Sesame Seeds,5,g
Chicken Salad,Orange Vinaigrette,12,g
Smoked Salmon Salad,Smoked Salmon,65,g
Smoked Salmon Salad,Iberian Salad,40,g
Smoked Salmon Salad,Avocado,40,g
Smoked Salmon Salad,Radish,12,g
Smoked Salmon Salad,Caramelized Mixed Nuts,10,g
Smoked Salmon Salad,Sesame Seeds,5,g
Smoked Salmon Salad,Orange Vinaigrette,12,g
Go Green,Quinoa,100,g
Go Green,Chickpeas,45,g
Go Green,Cucumber,25,g
Go Green,Mango,60,g
Go Green,Spinach,35,g
Go Green,Iberian Salad,40,g
Go Green,Cherry Tomato,50,g
Go Green,Tzatziki Sauce,20,g
Go Green,Caramelized Mixed Nuts,10,g
Go Green,Sesame Seeds,5,g
Go Green,Orange Vinaigrette,10,g
Beetroot Ginger Soup,Olive Oil,500,g
Beetroot Ginger Soup,Garlic,100,g
Beetroot Ginger Soup,Onion,1500,g
Beetroot Ginger Soup,White Wine,250,ml
Beetroot Ginger Soup,Ginger,300,g
Beetroot Ginger Soup,Beetroot,3000,g
Beetroot Ginger Soup,Brown Sugar,75,g
Beetroot Ginger Soup,Salt,150,g
Beetroot Ginger Soup,Creme Fraiche,100,g
Veggie Burger,Zucchini,20,g
Veggie Burger,Garlic,2,g
Veggie Burger,Quinoa,100,g
Veggie Burger,Beetroot Hummus,100,g
Veggie Burger,Tzatziki Sauce,20,g
Veggie Burger,Iberian Salad,15,g
Veggie Burger,Sweet Potato Chips,30,g
Veggie Burger,Tomato Bread,80,g
Chicken Burger,Curry Bread,80,g
Chicken Burger,Chicken Breast,100,g
Chicken Burger,Caramelized Onion,40,g
Chicken Burger,Avocado,40,g
Chicken Burger,Lemon Mayonnaise,40,g
Chicken Burger,Iberian Salad,15,g
Chicken Burger,Thyme,1,g
Chicken Burger,Rosemary,2,g
Chicken Burger,Sweet Potato Chips,30,g
BART,Bolo do Caco Bread,100,g
BART,Avocado,30,g
BART,Tomato,40,g
BART,Cherry Tomato,15,g
BART,Lemon Mayonnaise,40,g
BART,Butter,5,g
BART,Arugula,15,g
BART,Bacon,40,g
Vegan Sandwich,Saloia Bread,0.2,g
Vegan Sandwich,Zucchini,0.38,g
Vegan Sandwich,Pear,0.06,g
Vegan Sandwich,Hummus,0.11,g
Vegan Sandwich,Caramelized Onion,0.04,g
Vegan Sandwich,Sesame Seeds,0.04,g
Vegan Sandwich,Chives,0.1,g
Vegan Sandwich,Spinach,0.08,g
Salmon Sandwich,Tzatziki Sauce,0.06,g
Salmon Sandwich,Chives,0.06,g
Salmon Sandwich,Green Apple,0.04,g
Salmon Sandwich,Lemon,0.01,g
Salmon Sandwich,Salt,0,g
Salmon Sandwich,Olive Oil,0.03,g
Salmon Sandwich,Iberian Salad,0.16,g
Seasonal Fruits,Pineapple,0.07,g
Seasonal Fruits,Kiwi,0.08,g
Seasonal Fruits,Blackberry,0.39,g
Seasonal Fruits,Cantaloupe Melon,0.15,g
Seasonal Fruits,Grapes,0.09,g
Seasonal Fruits,Banana,0.07,g
Seasonal Fruits,Raspberry,0.29,g
Seasonal Fruits,Oats,0.01,g
Seasonal Fruits,Caramelized Mixed Nuts,0.06,g
Seasonal Fruits,Coconut Flakes,0.05,g
Seasonal Fruits,Coconut Foam,0.15,g
Clafoutis,Eggs,0.48,unit
Clafoutis,Brown Sugar,0.1,g
Clafoutis,Whole Milk,0.05,g
Clafoutis,Flour,0.04,g
Clafoutis,Vanilla Extract,0.12,g
Clafoutis,Salt,0,g
Clafoutis,Butter,0.02,g
Clafoutis,Strawberry Jam,0.65,g
Clafoutis,Powdered Sugar,0.04,g
Clafoutis,Strawberry,1.22,g
Banana Cake,Banana,0.57,g
Banana Cake,Brown Sugar,0.18,g
Banana Cake,Flour,0.09,g
Banana Cake,Walnuts,0.62,g
Banana Cake,Coconut Milk,0.28,g
Banana Cake,Ginger,0.03,g
Banana Cake,Baking Powder,0.04,g
Banana Cake,Cinnamon,0.03,g
Banana Cake,Nutmeg,0.07,g
Banana Cake,Oil,0.26,g
Banana Cake,Caramelized Mixed Nuts,0.04,g
Banana Cake,Salted Caramel,0.08,g
Brigadeiro French Toast,Brigadeiro,0.13,g
Brigadeiro French Toast,Coconut Flakes,0.08,g
Brigadeiro French Toast,Strawberry,0.12,g
Brigadeiro French Toast,Oil,0.09,g
Brigadeiro French Toast,French Toast Milk,0.03,g
Brigadeiro French Toast,Butter,0.18,g
Brigadeiro French Toast,Brioche Bread,0.18,g
Mascarpone Dulce de Leche French Toast,Dulce de Leche,0.17,g
Mascarpone Dulce de Leche French Toast,Mascarpone,0.4,g
Mascarpone Dulce de Leche French Toast,Oil,0.09,g
Mascarpone Dulce de Leche French Toast,French Toast Milk,0.03,g
Mascarpone Dulce de Leche French Toast,Brioche Bread,0.18,g
Mascarpone Dulce de Leche French Toast,Butter,0.18,g
Banana Nutella Pancake,Banana,0.14,g
Banana Nutella Pancake,Nutella,0.48,g
Banana Nutella Pancake,Caramelized Mixed Nuts,0.15,g
Tropical Curd Pancake,Kiwi,0.05,g
Tropical Curd Pancake,Pineapple,0.07,g
Vegan Beetroot Pancake,Mango,0.53,g
Vegan Beetroot Pancake,Mango Puree,0.65,g
Vegan Beetroot Pancake,Coconut Foam,0.2,g
Vegan Beetroot Pancake,Coconut Flakes,0.14,g
Vegan Beetroot Pancake,Strawberry,0.12,g
Vegan Beetroot Pancake,Raspberry,0.38,g
Vegan Beetroot Pancake,Blueberry,0.36,g
