recipe_name,ingredient_name,quantity,unit
brunch,yogurt,0.75,unit
vegan brunch,coffee,1,unit
vegan brunch,white mushrooms,50,g
vegan brunch,spinach,20,g
vegan brunch,saloia bread,100,g
vegan brunch,hummus,50,g
vegan brunch,iberian salad,20,g
vegan brunch,orange vinaigrette,5,g
vegan brunch,cherry tomato,10,g
shakshuka,eggs,2,unit
shakshuka,onion,70,g
shakshuka,red bell pepper,80,g
shakshuka,tomato,385,g
shakshuka,garlic,13,g
shakshuka,rosemary,2,g
shakshuka,thyme,3,g
shakshuka,basil,5,g
shakshuka,chili pepper,10,g
shakshuka,sweet paprika,10,g
shakshuka,cumin,4,g
shakshuka,tomato paste,50,g
shakshuka,saloia bread,100,g
eggs benedict,eggs,2,unit
eggs benedict,brioche bread,60,g
eggs benedict,hollandaise sauce,50,g
eggs benedict,bacon,20,g
eggs benedict,chives,3,g
eggs florentine,eggs,2,unit
eggs florentine,white mushrooms,50,g
eggs florentine,spinach,20,g
eggs florentine,mornay sauce,50,g
eggs florentine,chives,3,g
eggs florentine,saloia bread,90,g
avocado and feta,eggs,2,unit
avocado and feta,guacamole,100,g
avocado and feta,cherry tomato,15,g
avocado and feta,iberian salad,20,g
avocado and feta,bacon,20,g
avocado and feta,feta cheese,20,g
avocado and feta,saloia bread,100,g
brazilian,acai,150,g
brazilian,granola,30,g
brazilian,strawberry,20,g
brazilian,banana,70,g
brazilian,basil,3,g
avocado,avocado,90,g
avocado,coconut milk,150,ml
avocado,coconut cream,20,g
avocado,basil,2,g
avocado,brown sugar,40,g
avocado,grapes,40,g
avocado,chia,7,g
avocado,oats,15,g
fruit bowl,greek yogurt,200,g
fruit bowl,mint,3,g
fruit bowl,banana,70,g
fruit bowl,kiwi,45,g
fruit bowl,honey,10,g
fruit bowl,granola,50,g
chicken salad,chicken breast,120,g
chicken salad,thyme,1,g
chicken salad,rosemary,2,g
chicken salad,salt,480,g
chicken salad,black pepper,14,g
chicken salad,iberian salad,40,g
chicken salad,avocado,40,g
chicken salad,radish,12,g
chicken salad,caramelized mixed nuts,10,g
chicken salad,sesame seeds,5,g
chicken salad,orange vinaigrette,12,g
smoked salmon salad,smoked salmon,65,g
smoked salmon salad,iberian salad,40,g
smoked salmon salad,avocado,40,g
smoked salmon salad,radish,12,g
smoked salmon salad,caramelized mixed nuts,10,g
smoked salmon salad,sesame seeds,5,g
smoked salmon salad,orange vinaigrette,12,g
go green,quinoa,100,g
go green,chickpeas,45,g
go green,cucumber,25,g
go green,mango,60,g
go green,spinach,35,g
go green,iberian salad,40,g
go green,cherry tomato,50,g
go green,tzatziki sauce,20,g
go green,caramelized mixed nuts,10,g
go green,sesame seeds,5,g
go green,orange vinaigrette,10,g
beetroot ginger soup,olive oil,500,g
beetroot ginger soup,garlic,100,g
beetroot ginger soup,onion,1500,g
beetroot ginger soup,white wine,250,ml
beetroot ginger soup,ginger,300,g
beetroot ginger soup,beetroot,3000,g
beetroot ginger soup,brown sugar,75,g
beetroot ginger soup,salt,150,g
beetroot ginger soup,creme fraiche,100,g
veggie burger,zucchini,20,g
veggie burger,garlic,2,g
veggie burger,quinoa,100,g
veggie burger,beetroot hummus,100,g
veggie burger,tzatziki sauce,20,g
veggie burger,iberian salad,15,g
veggie burger,sweet potato chips,30,g
veggie burger,tomato bread,80,g
chicken burger,curry bread,80,g
chicken burger,chicken breast,100,g
chicken burger,caramelized onion,40,g
chicken burger,avocado,40,g
chicken burger,lemon mayonnaise,40,g
chicken burger,iberian salad,15,g
chicken burger,thyme,1,g
chicken burger,rosemary,2,g
chicken burger,sweet potato chips,30,g
bart,bolo do caco bread,100,g
bart,avocado,30,g
bart,tomato,40,g
bart,cherry tomato,15,g
bart,lemon mayonnaise,40,g
bart,butter,5,g
bart,arugula,15,g
bart,bacon,40,g
vegan sandwich,saloia bread,0.2,g
vegan sandwich,zucchini,0.38,g
vegan sandwich,pear,0.06,g
vegan sandwich,hummus,0.11,g
vegan sandwich,caramelized onion,0.04,g
vegan sandwich,sesame seeds,0.04,g
vegan sandwich,chives,0.1,g
vegan sandwich,spinach,0.08,g
salmon sandwich,tzatziki sauce,0.06,g
salmon sandwich,chives,0.06,g
salmon sandwich,green apple,0.04,g
salmon sandwich,lemon,0.01,g
salmon sandwich,salt,0,g
salmon sandwich,olive oil,0.03,g
salmon sandwich,iberian salad,0.16,g
seasonal fruits,pineapple,0.07,g
seasonal fruits,kiwi,0.08,g
seasonal fruits,blackberry,0.39,g
seasonal fruits,cantaloupe melon,0.15,g
seasonal fruits,grapes,0.09,g
seasonal fruits,banana,0.07,g
seasonal fruits,raspberry,0.29,g
seasonal fruits,oats,0.01,g
seasonal fruits,caramelized mixed nuts,0.06,g
seasonal fruits,coconut flakes,0.05,g
seasonal fruits,coconut foam,0.15,g
clafoutis,eggs,0.48,unit
clafoutis,brown sugar,0.1,g
clafoutis,whole milk,0.05,g
clafoutis,flour,0.04,g
clafoutis,vanilla extract,0.12,g
clafoutis,salt,0,g
clafoutis,butter,0.02,g
clafoutis,strawberry jam,0.65,g
clafoutis,powdered sugar,0.04,g
clafoutis,strawberry,1.22,g
banana cake,banana,0.57,g
banana cake,brown sugar,0.18,g
banana cake,flour,0.09,g
banana cake,walnuts,0.62,g
banana cake,coconut milk,0.28,g
banana cake,ginger,0.03,g
banana cake,baking powder,0.04,g
banana cake,cinnamon,0.03,g
banana cake,nutmeg,0.07,g
banana cake,oil,0.26,g
banana cake,caramelized mixed nuts,0.04,g
banana cake,salted caramel,0.08,g
brigadeiro french toast,brigadeiro,0.13,g
brigadeiro french toast,coconut flakes,0.08,g
brigadeiro french toast,strawberry,0.12,g
brigadeiro french toast,oil,0.09,g
brigadeiro french toast,french toast milk,0.03,g
brigadeiro french toast,butter,0.18,g
brigadeiro french toast,brioche bread,0.18,g
mascarpone dulce de leche french toast,dulce de leche,0.17,g
mascarpone dulce de leche french toast,mascarpone,0.4,g
mascarpone dulce de leche french toast,oil,0.09,g
mascarpone dulce de leche french toast,french toast milk,0.03,g
mascarpone dulce de leche french toast,brioche bread,0.18,g
mascarpone dulce de leche french toast,butter,0.18,g
banana nutella pancake,banana,0.14,g
banana nutella pancake,nutella,0.48,g
banana nutella pancake,caramelized mixed nuts,0.15,g
tropical curd pancake,kiwi,0.05,g
tropical curd pancake,pineapple,0.07,g
vegan beetroot pancake,mango,0.53,g
vegan beetroot pancake,mango puree,0.65,g
vegan beetroot pancake,coconut foam,0.2,g
vegan beetroot pancake,coconut flakes,0.14,g
vegan beetroot pancake,strawberry,0.12,g
vegan beetroot pancake,raspberry,0.38,g
vegan beetroot pancake,blueberry,0.36,g
herb oil,olive oil,0.51,g
herb oil,garlic,0.04,g
herb oil,chives,0.3,g
herb oil,parsley,0.1,g
herb oil,cilantro,0.08,g
herb oil,thyme,0.17,g
herb oil,basil,0.21,g
herb oil,lemon,0.04,g
guacamole,avocado,1.63,g
guacamole,red onion,0.07,g
guacamole,tomato,0.14,g
guacamole,chili pepper,0.06,g
guacamole,cilantro,0.04,g
guacamole,lime,0.08,g
guacamole,olive oil,0.05,g
guacamole,salt,0,g
orange vinaigrette,orange,0.25,g
orange vinaigrette,olive oil,0.2,g
orange vinaigrette,black pepper,0.06,g
orange vinaigrette,salt,0,g
caramelized onion,onion,1.48,g
caramelized onion,olive oil,0.38,g
caramelized onion,white wine,0.21,g
caramelized onion,vinegar,0.14,g
caramelized onion,brown sugar,0.3,g
caramelized onion,worcestershire sauce,0.19,g
hummus,chickpeas,0.24,g
hummus,olive oil,0.13,g
hummus,lemon,0.03,g
hummus,tahini,0.15,g
hummus,salt,0,g
hummus,black pepper,0.06,g
hummus,beetroot,0.14,g
hummus,olive oil,0.04,g
lemon mayonnaise,mayonnaise,0.31,g
lemon mayonnaise,salt,0,g
lemon mayonnaise,black pepper,0.08,g
lemon mayonnaise,lemon,0.06,g
tzatziki sauce,greek yogurt,0.3,g
tzatziki sauce,cucumber,0.31,g
tzatziki sauce,salt,0,g
tzatziki sauce,black pepper,0.06,g
tzatziki sauce,olive oil,0.03,g
tzatziki sauce,mint,0.04,g
hollandaise sauce,eggs,0.4,unit
hollandaise sauce,lemon,0.21,g
hollandaise sauce,butter,1.41,g
hollandaise sauce,salt,0,g
hollandaise sauce,black pepper,0.06,g
mornay sauce,whole milk,0.3,g
mornay sauce,flour,0.01,g
mornay sauce,butter,0.18,g
mornay sauce,emmental cheese,2.02,g
mornay sauce,parmesan cheese,3.82,g
mornay sauce,salt,0.01,g
mornay sauce,black pepper,0.47,g
